"Candidate","State","District","Office.Type","Primary.Status","Primary.Runoff.Status","Primary..","Race","Veteran.","LGBTQ.","Elected.Official.","Self.Funder.","STEM.","Obama.Alum.","Party.Support.","Emily.Endorsed.","Guns.Sense.Candidate.","Biden.Endorsed.","Warren.Endorsed.","Sanders.Endorsed.","Our.Revolution.Endorsed.","Justice.Dems.Endorsed.","PCCC.Endorsed.","Indivisible.Endorsed.","WFP.Endorsed.","VoteVets.Endorsed.","No.Labels.Support.","Election.Month","Neutral.Endorsements","Yes.Endorsements","No.Endorsements"
"Brian Forde","CA","U.S. House California District 45","Representative","Lost","None",13.06,"White","No","No","No","No","Yes","Yes","No","No","Yes","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral",6,7,1,4
"Dave Min","CA","U.S. House California District 45","Representative","Lost","None",38.740002,"Nonwhite","No","No","No","No","No","No","No","No","Yes","Neutral","No","Neutral","No","Neutral","No","Neutral","Neutral","Neutral","Neutral",6,7,1,4
"Katie Porter","CA","U.S. House California District 45","Representative","Advanced","None",44.040001,"White","No","No","No","No","No","No","Yes","Yes","Yes","Neutral","Yes","Neutral","Yes","Neutral","Yes","Neutral","Neutral","Neutral","Neutral",6,7,5,0
"Kia Hamadanchy","CA","U.S. House California District 45","Representative","Lost","None",4.1500001,"Nonwhite","No","No","No","No","No","No","No","No","Yes","Neutral","No","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral","Neutral",6,7,2,3
"Deanie Schaarsmith","CA","U.S. House California District 48","Representative","Lost","None",1.79,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,0,4
"Hans Keirstead","CA","U.S. House California District 48","Representative","Lost","None",37.439999,"White","No","No","No","Yes","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,1,3
"Harley Rouda","CA","U.S. House California District 48","Representative","Advanced","None",37.599998,"White","No","No","No","Yes","No","No","Yes","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","Yes","Neutral","Neutral","Neutral",6,8,2,2
"Laura Oatman","CA","U.S. House California District 48","Representative","Lost","None",3.01,"White","No","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Yes","Neutral","No","Neutral","Neutral","Neutral",6,8,1,3
"Michael Kotick","CA","U.S. House California District 48","Representative","Lost","None",3.26,"White","No","No","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,0,4
"Omar Siddiqui","CA","U.S. House California District 48","Representative","Lost","None",10.81,"Nonwhite","No","No","No","Yes","Yes","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,1,3
"Rachel Payne","CA","U.S. House California District 48","Representative","Lost","None",4.4899998,"White","No","No","No","No","Yes","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,1,3
"Tony Zarkades","CA","U.S. House California District 48","Representative","Lost","None",1.6,"White","Yes","No","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","No","Neutral","No","Neutral","Neutral","Neutral",6,8,0,4
"Douglas Applegate","CA","U.S. House California District 49","Representative","Lost","None",25.76,"White","Yes","No","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","No","Neutral","Neutral","Yes","Neutral",6,8,2,2
"Mike Levin","CA","U.S. House California District 49","Representative","Advanced","None",34.400002,"White","No","No","No","No","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","No","Yes","Neutral","Neutral","No","Neutral",6,8,1,3
"Paul Kerr","CA","U.S. House California District 49","Representative","Lost","None",8.75,"White","Yes","No","No","Yes","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral",6,8,0,4
"Sara Jacobs","CA","U.S. House California District 49","Representative","Lost","None",31.09,"White","No","No","No","Yes","No","Yes","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","Neutral","Neutral","No","Neutral",6,8,1,3
"Ammar Campa-Najjar","CA","U.S. House California District 50","Representative","Advanced","None",48.360001,"Nonwhite","No","No","No","No","No","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Yes","Yes","Yes","Neutral","Neutral","Neutral",6,9,3,0
"Josh Butner","CA","U.S. House California District 50","Representative","Lost","None",35.509998,"White","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","No","Neutral","Yes","Neutral",6,8,1,3
"Patrick Malloy","CA","U.S. House California District 50","Representative","Lost","None",16.129999,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","No","No","No","Neutral","Neutral","Neutral",6,9,0,3
"Marge Doyle","CA","U.S. House California District 8","Representative","Lost","None",59.610001,"White","No","Yes","No","No","Yes","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Rita Ramirez","CA","U.S. House California District 8","Representative","Lost","None",27.67,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Ronald O'Donnell","CA","U.S. House California District 8","Representative","Lost","None",12.71,"White","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Cary Kennedy","CO","Governor of Colorado","Governor","Lost","None",24.719999,"White","No","No","Yes","No","No","No","Neutral","Yes","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,2,0
"Donna Lynne","CO","Governor of Colorado","Governor","Lost","None",7.2800002,"White","No","No","Yes","No","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Jared Polis","CO","Governor of Colorado","Governor","Advanced","None",44.43,"White","No","Yes","Yes","Yes","No","No","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Michael Johnston","CO","Governor of Colorado","Governor","Lost","None",23.57,"White","No","No","Yes","No","No","Yes","Neutral","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,10,0,2
"Joe Neguse","CO","U.S. House Colorado District 2","Representative","Advanced","None",65.82,"Nonwhite","No","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Mark Williams","CO","U.S. House Colorado District 2","Representative","Lost","None",34.18,"Nonwhite","Yes","No","No","No","No","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,12,0,0
"Arn Menconi","CO","U.S. House Colorado District 3","Representative","Lost","None",8.2200003,"White","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,11,0,1
"Diane Mitsch Bush","CO","U.S. House Colorado District 3","Representative","Advanced","None",64.099998,"White","No","No","Yes","No","No","No","Neutral","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,11,1,0
"Karl Hanlon","CO","U.S. House Colorado District 3","Representative","Lost","None",27.68,"White","No","No","No","No","No","No","Neutral","No","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",6,11,0,1
