,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
100,Mark Williams,CO,34.18,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
101,Arn Menconi,CO,8.220000299999999,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
102,Diane Mitsch Bush,CO,64.099998,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
103,Karl Hanlon,CO,27.68,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
104,Chase Kohne,CO,35.32,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
105,Karen McCormick,CO,64.629997,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
106,Stephany Rose Spaulding,CO,100.0,11,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
107,Jason Crow,CO,65.940002,10,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
108,Levi Tillemann,CO,34.060001,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
109,Stacey Abrams,GA,76.440002,7,5,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
110,Stacey Evans,GA,23.559998999999998,7,0,5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
111,Barbara Seidman,GA,32.459998999999996,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
112,Lisa Ring,GA,67.540001,8,3,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
113,Chalis Montgomery,GA,26.459999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
114,Richard Dien Winfield,GA,23.33,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
115,Tabitha Johnson-Green,GA,50.200001,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
116,Flynn Broady Jr.,GA,100.0,12,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
117,Francys Johnson,GA,52.860001000000004,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
118,Robert Ingham,GA,31.15,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
119,Trent Nesmith,GA,15.99,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
120,Steven Foster,GA,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
121,Chuck Enderlin,GA,59.869999,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
122,Rusty Oliver,GA,40.130001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
123,Bobby Kaple,GA,26.25,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
124,Kevin Abel,GA,30.540001,10,0,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
125,Lucy McBath,GA,36.27,10,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
126,Steven Knight Griffin,GA,6.9499998,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
127,Carolyn Bourdeaux,GA,27.280001000000002,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
128,David Kim,GA,25.98,10,0,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
129,Ethan Pham,GA,17.84,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
130,Kathleen Allen,GA,11.02,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
131,Melissa Davis,GA,13.67,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
132,Steve Reilly,GA,4.1999998,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
133,Dave Cooper,GA,47.27,10,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
134,Josh McCall,GA,52.73,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
135,Andy McGuire,IA,5.25,8,0,4,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
136,Cathy Glasson,IA,20.549999,8,4,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
137,Fred Hubbell,IA,55.41,8,0,4,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
138,John Norris,IA,11.44,8,0,4,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
139,Nate Boulton,IA,4.9699998,8,0,4,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
140,Ross Wilburn,IA,2.1700001,8,0,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
141,Abby Finkenauer,IA,66.800003,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
142,Courtney Rowe,IA,7.5900002,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
143,George Ramsey,IA,6.369999900000001,10,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
144,Thomas Heckroth,IA,19.120001000000002,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
145,Cindy Axne,IA,57.799999,9,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
146,Eddie Mauro,IA,26.35,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
147,Pete D'Alessandro,IA,15.58,9,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
148,J.D. Scholten,IA,51.259997999999996,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
149,John Paschen,IA,16.719998999999998,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
150,Leann Jacobsen,IA,31.92,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
151,A.J. Balukoff,ID,40.099998,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
152,Paulette E. Jordan,ID,58.400002,10,2,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
153,Peter Dill,ID,1.4,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
154,Christina McNeil,ID,69.699997,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
155,James Vandermaas,ID,15.8,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
156,Michael Smith,ID,14.5,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
157,Aaron Swisher,ID,67.599998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
158,Peter Rickards,ID,32.400002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
159,Bob Daiber,IL,1.1,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
160,Chris Kennedy,IL,24.4,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
161,Daniel K. Biss,IL,26.700001,10,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
162,J.B. Pritzker,IL,45.099998,10,0,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
163,Robert Marshall,IL,1.1,10,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
164,Tio Hardiman,IL,1.6,10,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
165,Brendan Kelly,IL,81.0,10,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
166,David Bequette,IL,19.0,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
167,Angel Sides,IL,4.1999998,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
168,Betsy Londrigan,IL,45.700001,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
169,David Gill,IL,14.4,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
170,Erik Jones,IL,22.4,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
171,Jonathan Ebel,IL,13.3,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
172,Daniel Roldan-Johnson,IL,2.3,8,0,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
173,George Weber,IL,5.0,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
174,Jim Walz,IL,10.0,8,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
175,John Hosta,IL,5.0,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
176,Lauren Underwood,IL,57.299999,8,3,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
177,Matt Brolley,IL,13.4,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
178,Victor Swanson,IL,7.0,8,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
179,Carl Spoerer,IL,37.900002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
180,Kevin Gaither,IL,62.099998,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
181,Amy Murri Briel,IL,19.5,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
182,Beth Vercolio-Osmund,IL,13.0,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
183,Neill Mohammad,IL,27.200001,11,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
184,Sara Dady,IL,40.299999,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
185,Brian Deters,IL,39.5,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
186,Darrel Miller,IL,18.799999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
187,Junius Rodriguez,IL,41.700001,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
