,Candidate,State,Primary..,Neutral.Endorsements,Yes.Endorsements,No.Endorsements,Office.Type_Governor,Office.Type_Representative,Office.Type_Senator,Primary.Status_Advanced,Race_Nonwhite,Race_Unknown,Race_White,Veteran._No,Veteran._Unknown,Veteran._Yes,LGBTQ._No,LGBTQ._Unknown,LGBTQ._Yes,Elected.Official._Yes,Self.Funder._Yes,STEM._No,STEM._Unknown,STEM._Yes,Obama.Alum._Yes,Party.Support._Neutral,Party.Support._No,Party.Support._Yes
588,Madeleine Dean,PA,72.559998,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
589,Shira Goodman,PA,16.49,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
590,Ashley Lunkenheimer,PA,15.31,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
591,Gregory Vitali,PA,9.430000300000001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
592,Larry Arata,PA,1.52,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
593,Lindy Li,PA,6.98,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
594,Margo Davidson,PA,3.98,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
595,Mary Gay Scanlon,PA,28.370001000000002,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
596,Molly Sheehan,PA,10.24,10,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
597,Richard Lazer,PA,14.99,12,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
598,Thaddeus Kirkland,PA,3.99,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
599,Theresa Wright,PA,5.1900001,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
600,Chrissy Houlahan,PA,100.0,10,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
601,David Clark,PA,1.7,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
602,Greg Edwards,PA,25.43,7,4,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
603,John Morganelli,PA,30.15,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
604,Rick Daugherty,PA,3.8599998999999996,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
605,Roger Ruggles,PA,5.4099998,11,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
606,Susan Wild,PA,33.450001,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
607,Denny Wolff,PA,40.549999,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
608,Gary Wegman,PA,31.290001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
609,Laura Quick,PA,28.16,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
610,James Smith Jr.,SC,61.810001,9,3,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
611,Marguerite Willis,SC,27.549999,12,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
612,Phil Noble,SC,10.64,12,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0
613,Joe Cunningham,SC,71.5,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
614,Toby Smith,SC,28.5,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
615,Annabelle Robertson,SC,41.810001,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
616,Phil Black,SC,18.370001000000002,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
617,Sean Carrigan,SC,39.82,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
618,Hosea Cleveland,SC,30.27,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
619,Mary Geren,SC,69.730003,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
620,Brandon Brown,SC,28.469998999999998,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
621,Doris Lee Turner,SC,29.459999,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
622,Eric Graben,SC,25.719998999999998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
623,J.T. Davis,SC,7.219999799999999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
624,Will Morin III,SC,9.130000099999998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
625,Archie Parnell,SC,59.959998999999996,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
626,Mark Ali,SC,13.41,11,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
627,Sidney Moore,SC,17.17,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
628,Steve Lough,SC,9.46,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
629,Bill Hopkins,SC,17.780001000000002,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
630,Bruce Fischer,SC,11.22,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
631,Mal Hyman,SC,29.700001,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
632,Robert Williams,SC,41.299999,10,0,2,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
633,Billie Sutton,SD,100.0,12,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
634,Timothy Bjorkman,SD,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
635,Craig Fitzhugh,TN,19.42,10,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0
636,Karl Dean,TN,75.139999,10,0,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
637,Mezianne Vale Payne,TN,5.4400001,10,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
638,Martin Olsen,TN,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
639,Joseph Schenkenfelder,TN,4.5100002,9,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
640,Joshua Williams,TN,23.08,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
641,Renee Hoyos,TN,72.410004,9,3,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
642,Danielle Mitchell,TN,100.0,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
643,Christopher Hale,TN,34.720001,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
644,Mariah Phillips,TN,47.509997999999996,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
645,Steven Reynolds,TN,17.77,11,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
646,Christopher Finley,TN,15.06,10,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
647,Dawn Barlow,TN,54.509997999999996,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
648,Merrilee Wineinger,TN,22.059998999999998,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
649,Peter Heffernan,TN,8.369999900000002,10,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
650,Justin Kanew,TN,62.110001000000004,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
651,Matt Reel,TN,37.889998999999996,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
652,Erika Stotts Pearson,TN,50.419998,11,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
653,John Boatner Jr.,TN,49.580002,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
654,Gary Davis,TN,5.2800002,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
655,John Wolfe,TN,3.21,11,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
656,Phil Bredesen,TN,91.510002,11,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0
657,Adrian Ocegueda,TX,4.4000001,12,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
658,Andrew White,TX,27.4,11,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
659,Cedric Davis,TX,8.2399998,12,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
660,Grady Yarbrough,TX,5.369999900000001,12,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
661,James Clark,TX,2.1500001,12,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
662,Jeffrey Payne,TX,4.75,12,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
663,Joe Mumbach,TX,1.36,12,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
664,Lupe Valdez,TX,42.91,11,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
665,Thomas Wakely,TX,3.4100001000000004,12,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
666,Brent Beal,TX,38.959998999999996,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
667,Shirley McKellar,TX,61.040001000000004,11,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
668,Kevin Nelson,TX,4.1199999,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
669,Madeline Eden,TX,14.27,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
670,Matt Harris,TX,7.320000200000001,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
671,Mike Siegel,TX,40.0,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
672,Tami Walker,TX,15.56,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
673,Tawana Cadien,TX,17.959999,11,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
674,Eric Pfalzgraf,TX,17.09,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
675,Jennie Lou Leeder,TX,82.910004,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
676,Vanessa Adia,TX,100.0,11,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
677,Greg Sagan,TX,100.0,12,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
678,Adrienne Bell,TX,79.83000200000001,10,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
679,Levy Barnes Jr.,TX,20.17,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
680,Dori Fenenbock,TX,21.969998999999998,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
681,Enrique Garcia,TX,5.329999900000001,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
682,Jerome Tilghman,TX,2.97,9,0,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
683,John Carrillo,TX,1.55,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
684,Norma Chavez,TX,6.6599998,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
685,Veronica Escobar,TX,61.529999,9,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
686,Dale Mantey,TX,36.599998,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
687,Rick Kennedy,TX,63.400002,11,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
688,Miguel Levario,TX,100.0,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
689,Ali Khorasani,TX,7.5,10,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
690,H. P. Parvizian,TX,7.9099998,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
691,Jimmy Darnell Jones,TX,22.08,10,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
692,Silky Malik,TX,9.6999998,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
693,Todd Litton,TX,52.810001,10,0,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
694,Derrick Crowe,TX,23.049999,9,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
695,Elliott McFadden,TX,17.02,9,0,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
696,Joseph Kopser,TX,29.030001000000002,8,2,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
697,Mary Wilson,TX,30.9,8,2,2,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
698,Letitia Plummer,TX,24.290001,9,1,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
699,Margarita Ruiz Johnson,TX,12.64,10,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
700,Mark Gibson,TX,10.24,10,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
701,Sri Preston Kulkarni,TX,31.85,9,1,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
702,Steve Brown,TX,20.98,10,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
703,Angela Villescaz,TX,9.090000199999999,8,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
704,Gina Ortiz Jones,TX,41.560001,7,3,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
705,Jay Hulings,TX,14.98,8,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
706,Judy Canales,TX,16.99,8,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
707,Rick Trevi̱o,TX,17.379998999999998,8,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
708,Jan McDowell,TX,52.470001,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
709,John Biggan,TX,21.52,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
710,Josh Imhoff,TX,6.02,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
711,Todd Allen,TX,20.0,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
712,Chetan Panda,TX,9.04,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
713,Chris Perri,TX,32.790001000000004,9,3,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
714,Julie Oliver,TX,26.440001000000002,9,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
715,Kathi Thomas,TX,21.16,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
716,West Hansen,TX,10.57,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
717,Linsey Fagan,TX,52.66,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
718,Will Fisher,TX,47.34,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
719,Eric Holguin,TX,23.299999,11,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
720,Raul (Roy) Barrera,TX,41.23,11,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
721,Ronnie McDonald,TX,16.389999,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
722,Vanessa Edwards Foster,TX,19.08,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
723,Augustine Reyes,TX,2.8299999,10,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
724,Dominique Garcia,TX,2.5799999,9,0,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
725,Hector Morales,TX,3.04,9,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
726,Pedro Valencia,TX,1.04,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
727,Roel Garcia,TX,6.5900002,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
728,Sylvia Garcia,TX,63.259997999999996,10,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
729,Tahir Javed,TX,20.67,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
730,Adam Bell,TX,17.959999,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
731,Lorie Burch,TX,49.610001000000004,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
732,Medrick Yhap,TX,3.76,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
733,Sam Johnson,TX,28.68,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
734,Christine Mann,TX,33.509997999999996,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
735,Kent Lester,TX,10.32,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
736,M.J. Hegar,TX,44.93,10,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
737,Mike Clark,TX,11.23,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
738,Brett Shipp,TX,16.34,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
739,Colin Allred,TX,38.43,10,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
740,Ed Meier,TX,13.7,10,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
741,George Rodriguez,TX,7.5900002,10,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
742,Lillian Salerno,TX,18.35,10,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
743,Ron Marshall,TX,3.24,10,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
744,Todd Maternowski,TX,2.3599999,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
745,Dayna Steele,TX,72.0,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
746,Jon Powell,TX,28.0,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
747,Catherine Krantz,TX,68.620003,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
748,Lander Bethel,TX,31.379998999999998,12,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
749,Dan Wood,TX,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
750,Jana Lynne Sanchez,TX,36.900002,11,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
751,John Duncan,TX,13.52,11,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
752,Justin Snider,TX,6.849999900000001,11,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
753,Levii Shocklee,TX,5.7800002,11,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
754,Ruby Faye Woolridge,TX,36.950001,11,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
755,Alex Triantaphyllis,TX,15.73,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
756,Ivan Sanchez,TX,5.6900001,8,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
757,James Cargas,TX,1.96,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
758,Jason Westin,TX,19.16,8,0,4,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
759,Joshua Butler,TX,3.77,8,0,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
760,Laura Moser,TX,24.34,8,3,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
761,Lizzie Pannill Fletcher,TX,29.360001,8,1,3,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
762,Steven David,TX,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
763,Beto O'Rourke,TX,61.810001,11,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
764,Edward Kimbrough,TX,14.47,11,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
765,Sema Hernandez,TX,23.719998999999998,11,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
766,Kurt Weiland,UT,43.150002,12,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
767,Lee Castillo,UT,56.849998,12,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
768,Shireen Ghorbani,UT,100.0,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
769,James Singer,UT,100.0,12,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
770,Ben McAdams,UT,100.0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
771,Jenny Wilson,UT,100.0,12,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
772,Edwin Santana,VA,32.900002,10,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
773,John Suddarth,VA,27.129998999999998,10,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
774,Vangie Williams,VA,39.970001,10,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
775,Alison Kiehl Friedman,VA,22.959999,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0
776,Dan Helmer,VA,12.55,9,2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
777,Jennifer Wexton,VA,41.889998999999996,9,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
778,Julia Biggins,VA,2.8299999,9,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
779,Lindsey Davis Stover,VA,16.02,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
780,Paul Pelletier,VA,3.76,9,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
781,Elaine Luria,VA,62.330002,8,3,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
782,Karen Mallard,VA,37.669998,8,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
783,Leslie Cockburn,VA,100.0,11,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
784,Charlotte Moore,VA,18.450001,10,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
785,Jennifer Lewis,VA,47.669998,10,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
786,Peter Volosin,VA,27.190001000000002,10,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
